/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 90 averaged noise traces
/* Acquired at 18:37:46 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
1.58882e+006	4.69508e-006
1.59073e+006	5.26449e-006
1.59264e+006	5.68055e-006
1.59454e+006	5.27236e-006
1.59645e+006	5.16882e-006
1.59836e+006	5.34073e-006
1.60027e+006	5.42642e-006
1.60217e+006	5.23619e-006
1.60408e+006	5.31588e-006
1.60599e+006	5.01986e-006
1.6079e+006	5.71092e-006
1.6098e+006	5.29142e-006
1.61171e+006	5.23621e-006
1.61362e+006	5.11446e-006
1.61552e+006	5.7117e-006
1.61743e+006	5.49481e-006
1.61934e+006	5.05504e-006
1.62125e+006	5.64194e-006
1.62315e+006	5.37791e-006
1.62506e+006	5.21449e-006
1.62697e+006	5.00268e-006
1.62888e+006	5.5098e-006
1.63078e+006	5.50162e-006
1.63269e+006	5.19864e-006
1.6346e+006	4.71549e-006
1.63651e+006	5.06606e-006
1.63841e+006	4.97034e-006
1.64032e+006	5.10077e-006
1.64223e+006	5.14779e-006
1.64413e+006	5.11936e-006
1.64604e+006	5.18991e-006
1.64795e+006	5.0948e-006
1.64986e+006	5.40584e-006
1.65176e+006	5.29362e-006
1.65367e+006	4.82516e-006
1.65558e+006	5.44738e-006
1.65749e+006	4.83e-006
1.65939e+006	5.8547e-006
1.6613e+006	4.80891e-006
1.66321e+006	5.04656e-006
1.66512e+006	5.12867e-006
1.66702e+006	5.29902e-006
1.66893e+006	5.22313e-006
1.67084e+006	5.08617e-006
1.67274e+006	5.16309e-006
1.67465e+006	5.15081e-006
1.67656e+006	5.12731e-006
1.67847e+006	5.35963e-006
1.68037e+006	4.91784e-006
1.68228e+006	5.56765e-006
1.68419e+006	4.9003e-006
1.6861e+006	5.10299e-006
1.688e+006	4.93413e-006
1.68991e+006	5.41395e-006
1.69182e+006	5.17045e-006
1.69373e+006	5.35354e-006
1.69563e+006	4.97453e-006
1.69754e+006	4.37422e-006
1.69945e+006	5.05731e-006
1.70136e+006	5.28385e-006
1.70326e+006	4.70671e-006
1.70517e+006	5.38681e-006
1.70708e+006	4.65791e-006
1.70898e+006	5.1661e-006
1.71089e+006	4.91559e-006
1.7128e+006	5.10674e-006
1.71471e+006	4.94278e-006
1.71661e+006	4.98055e-006
1.71852e+006	4.58131e-006
1.72043e+006	5.17011e-006
1.72234e+006	5.93919e-006
1.72424e+006	4.98191e-006
1.72615e+006	4.35027e-006
1.72806e+006	5.52327e-006
1.72997e+006	4.90889e-006
1.73187e+006	4.86458e-006
1.73378e+006	5.23123e-006
1.73569e+006	4.79247e-006
1.73759e+006	5.33807e-006
1.7395e+006	4.93411e-006
1.74141e+006	4.72316e-006
1.74332e+006	5.16716e-006
1.74522e+006	5.22879e-006
1.74713e+006	5.37522e-006
1.74904e+006	5.59178e-006
1.75095e+006	5.35385e-006
1.75285e+006	4.92955e-006
1.75476e+006	4.74816e-006
1.75667e+006	4.665e-006
1.75858e+006	4.99347e-006
1.76048e+006	4.26774e-006
